seed,method,epoch,global_epoch,samples_seen,wall_time_sec,validation_reconstruction_mse
0,BBB,1,1,50000,41.216989399981685,0.00860063059180975
0,BBB,2,2,100000,82.64207709999755,0.005569028955698013
0,BBB,3,3,150000,120.75442560005467,0.004534254702925682
0,BBB,4,4,200000,161.0796779000666,0.004198912250250578
0,BBB,5,5,250000,195.98983950004913,0.003876223973929882
0,BBB,6,6,300000,236.27575789997354,0.0036885276190936566
0,BBB,7,7,350000,270.9263403000077,0.003550797139108181
0,BBB,8,8,400000,308.1886412000749,0.0034196628831326963
0,BBB,9,9,450000,342.03320740000345,0.0032559614583849905
0,BBB,10,10,500000,377.950563600054,0.0035194553166627883
1,BBB,1,1,50000,40.181176600046456,0.008724150060117244
1,BBB,2,2,100000,79.91000320005696,0.005873917496204376
1,BBB,3,3,150000,114.85780340002384,0.0046587230741977695
1,BBB,4,4,200000,154.2149964000564,0.004195259584486484
1,BBB,5,5,250000,189.43435290001798,0.003848666239529848
1,BBB,6,6,300000,227.9521419000812,0.0036849066637456417
1,BBB,7,7,350000,264.9263845999958,0.0035914958849549293
1,BBB,8,8,400000,302.6033796000993,0.0034358385279774665
1,BBB,9,9,450000,342.20607340009883,0.003400432901829481
1,BBB,10,10,500000,377.7294918000698,0.0032444225668907165
2,BBB,1,1,50000,37.35129520006012,0.008232324972748756
2,BBB,2,2,100000,72.50054570008069,0.005398857714980841
2,BBB,3,3,150000,107.56204660004005,0.004538166683912277
2,BBB,4,4,200000,142.0569824000122,0.00407122999727726
2,BBB,5,5,250000,177.3129903000081,0.003581207073479891
2,BBB,6,6,300000,217.85027680010535,0.0036243692882359027
2,BBB,7,7,350000,256.14164640009403,0.003248086266592145
2,BBB,8,8,400000,290.0939026999986,0.0032412793423980475
2,BBB,9,9,450000,326.66100449999794,0.0030215304896235467
2,BBB,10,10,500000,359.6806402000366,0.0029453014105558398
3,BBB,1,1,50000,24.446540699999787,0.009470453292131423
3,BBB,2,2,100000,47.01191639999979,0.0059756944701075555
3,BBB,3,3,150000,70.94195199999922,0.004749683251976967
3,BBB,4,4,200000,91.69246029999977,0.004501585022360087
3,BBB,5,5,250000,111.76443469999958,0.0037315684512257575
3,BBB,6,6,300000,135.31215859999975,0.0035553026050329207
3,BBB,7,7,350000,154.49633209999956,0.0032891752097755672
3,BBB,8,8,400000,172.11262889999944,0.003155251295492053
3,BBB,9,9,450000,193.55575150000004,0.003074990100041032
3,BBB,10,10,500000,211.9927947999995,0.0029724632199853657
4,BBB,1,1,50000,24.507103599999937,0.009362963116168976
4,BBB,2,2,100000,48.54816649999975,0.0064243279755115505
4,BBB,3,3,150000,70.51447180000014,0.00550611717030406
4,BBB,4,4,200000,96.57898870000008,0.005050302624702453
4,BBB,5,5,250000,118.14660060000006,0.004698749488592148
4,BBB,6,6,300000,142.00611180000033,0.004536843313276768
4,BBB,7,7,350000,166.3409955999996,0.004506983181834221
4,BBB,8,8,400000,188.92584830000033,0.004474751023203135
4,BBB,9,9,450000,215.37783630000013,0.00425503448471427
4,BBB,10,10,500000,237.53089509999973,0.004181785136461258
0,HHH,1,31,1550000,553.7558954999549,0.029494932568073274
0,HHH,2,32,1600000,581.2142544999951,0.024863323947787286
0,HHH,3,33,1650000,613.8721361999633,0.023056640315055846
0,HHH,4,34,1700000,639.288081799983,0.021518248838186264
0,HHH,5,35,1750000,667.9356885000598,0.020721366146206857
0,HHH,6,36,1800000,694.3169042000081,0.02016333713233471
0,HHH,7,37,1850000,720.9656262999633,0.01993928729891777
0,HHH,8,38,1900000,748.787840200006,0.01925923764705658
0,HHH,9,39,1950000,773.0315068999771,0.019143921840190887
0,HHH,10,40,2000000,802.2583635000046,0.01896876525878906
1,HHH,1,31,1550000,559.6718072000658,0.027986140432953836
1,HHH,2,32,1600000,592.6160336000612,0.0228077372610569
1,HHH,3,33,1650000,621.0728240000317,0.020801377260684966
1,HHH,4,34,1700000,653.6217537999619,0.01976423174738884
1,HHH,5,35,1750000,681.0409763000207,0.019110387775301933
1,HHH,6,36,1800000,709.3894058000296,0.018406335788965226
1,HHH,7,37,1850000,738.2235587000614,0.018153215476870536
1,HHH,8,38,1900000,763.8093998000259,0.01794582923948765
1,HHH,9,39,1950000,794.0665537000168,0.017383510449528693
1,HHH,10,40,2000000,820.558944700053,0.01695532764792442
2,HHH,1,31,1550000,590.0940779000521,0.030297187501192094
2,HHH,2,32,1600000,622.735420800047,0.025877237096428873
2,HHH,3,33,1650000,653.6547113000415,0.024206233122944832
2,HHH,4,34,1700000,684.5807732000249,0.023165159517526627
2,HHH,5,35,1750000,714.9754068000475,0.022335879439115525
2,HHH,6,36,1800000,743.3276115000481,0.022317105197906494
2,HHH,7,37,1850000,768.8972274999833,0.021639135307073593
2,HHH,8,38,1900000,794.650011699996,0.021119532409310342
2,HHH,9,39,1950000,820.0195558000123,0.020997583761811257
2,HHH,10,40,2000000,845.2702027000487,0.020583939900994302
3,HHH,1,31,1550000,276.4362350000001,0.030326765540242197
